subclass,contents
주사,<br><주사 맞은날><br>엄마랑 주사맞으러 갔다.<br>조금 떨리네<br>따금!<br>아아얏!!<br>어 별로<br>아프지 않네<br>괜찮은 걸
용서,<br>당신을 용서했다 말하면서도<br>내 마음 속에는<br>작은 구슬이 남았습니다<br>내가 몸을 기울일 때에<br>그 작은 동그라미가<br>메마른 소리를 내며<br>도로록 굴러갈 때에<br>내 마른 마음도 함께<br>지이익<br>버석한 소라를 내며 찢어지는 것입니다
당신,<br>당신은 나의 해<br>손발이 꽁꽁 얼 거 같은 날<br>혼자 추위에 떨지 말라고 따스히 감싸주는<br>당신은 나의 달<br>어둡고 쓸쓸한 밤<br>무서울까 밝은 빛이 되어주며<br>외롭지 말라고 말동무 되어주는<br>당신은 나의 별<br>고민에 빠져 허우적 거릴때<br>남들 보다 빛나라고 희망을 주는<br>당신은 나의 해 달 별
인생,"<br>우리의 인생은 수동태 같아<br>우리는 어떤 행위자에 의해<br>낳아졌고<br>키워졌고<br>사랑받았고<br>상처받았으며<br>또 위로 받았잖아<br>어쩌면 갈기갈기 찢어져<br>치료 받지 못했을지도 몰라<br>그래도,<br>부디 우리의 인생에서<br>최초의 능동이 죽음만은 아니길<br>그런 인생은 너무 아프잖아"
제트기,<br>우리가 잡으려고해도<br>안잡히는 우리 제트기<br>에어쇼하면 우리<br>제트기 최고<br>나는 제트기가<br>참 좋아
엄마의 품,<br>엄마의 품<br>엄마의 품은 따뜻한 품<br>계속 안에있고싶은 따<br>뜻한 엄마의 품<br>엄마의 사랑이 느껴<br>지는 엄마의 품.
우리 엄마,<br>예쁜 우리엄마<br>이가 고르게 나서<br>더 예쁜 우리엄마<br>천하무적 우리엄마<br>내 책가방이 하나도 안무겁네<br>무서운 우리엄마<br>약속을 지키지 안으면 망태할아버지보다 더 무섭네<br>이것은 동시였습니다.
허수아비,"<br>제목: 허수아비<br>허수아비. 허수아비. 참새를 쫏는 허수아비. 아침부터 저녁 까지 서있는 허수아비. 날라가요. 날라가. 참새가 나라가요. 허공 에서 나라와, 벼를 먹을라 하다가, 허이! 허이 허수아비 저리가. 저리가.<br>저리가요. 가을부터 늦 가을 까지 한발도 움직이지 않는 허수아비."
피구,"<br>피구<br>2020.3.3.<br>“잡아, 잡아!”<br>오늘도 공을 빼앗겼다.<br>우리반 애들<br>대부분은 피구를 잘한다.<br>하지만,<br>못 하는 아이들은 투명인간이다.<br>“나도 좀 잡자.”<br>“네가 잘 잡든가.”<br>어휴, 짜증난다.<br>오늘도 난 투명인간인 셈이다.<br>날아오르는 공을 힘차게 받는<br>그날을 위해 오늘도 난<br>열심히 뛰어본다."
삶,"<br>사람의 삶이 참 보잘 것 없다.<br>오늘의 내가 열심히 인생을 산대도<br>내일의 나는 존재할 지 조차 모른다.<br>하지만 우리는 언제나 내일을 준비한다.<br>미래를 위해 현재를 희생한다.<br>미래로 위안을 얻는다.<br>그래서 오늘은 가장 행복해야 한다.<br>그 다음의 오늘은 더더욱 행복해야 한다.<br>내게 주어진 오늘을, 모두가 놓치고 있는 오늘을<br>잡아야 한다."
잠자리,<br>제목: 잠자리<br>빠른 잠자리<br>잠자리채를 휙휙<br>겨우 잡았다!<br>또 휙휙<br>겨우 잡혔네!<br>또 휙휙<br>야호!! 이번엔 왕잠자리다!!
운동,<br>운동은 신기하다<br>어떻게 볼때마다 하기가싫을까?<br>너무 귀찮아서 움직이기도 싫은데<br>정말 짜증난다<br>사람들은 어떻게그렇게 열심히 하는지 이해가 안된다
"꿈, 솜사탕",<br>나는 꿈이 있는 학생이다. 아직 파랗게 어리기만 한 학생이다. 하고 싶은 게 많은 학생이다. 현실은 나를 꿈꾸게 만들고 내 꿈을 짓밟기도 한다.<br>꿈을 성적으로 하여금 포기하게 만든다는 것은  잔인한 것이다.<br>나는 흰 설탕으로 만든 솜사탕이다.<br>갓 만들어진 솜사탕이다.<br>하늘을 날아 저 구름의 몸이 되고 싶다.<br>바람은 나를 꿈꾸게 하지만 센 바람은 자비없이 날 갈갈이 흩어놓는다.<br>솜사탕은 구름이 될 수 없다는 비바람의 속삭임에 나는 그만 비에 녹고 말았다.
봄,<br>3월  27일  (수)<br>날씨: 비가올 것 같다<br>제목: 봄이왔 어요<br>봄에는<br>봄꽃이 피어요<br>그리고또 봄에는<br>나비가 날아와요<br>그래서 봄에는<br>소풍가기 좋아요.
달,<br>달아달아 밝은달아<br>어디에 있니<br>달아달아 밝은달아<br>서쪽에 있니<br>달아달아밝은달아<br>동쪽에 있니<br>달아달아밝은달아<br>낮에는 가려지는<br>달아달아밝은달아<br>밤에는찾아오는<br>달아달아밝은달아<br>난 너가 보고싶구나<br>언젠가 그 달에 내가 갈수있겠지<br>난 그 떄를 기다리며 생각하다
눈물,"<br>세상이 얼마나 오염 됐으면<br>눈꽃이 아니고 눈물로 하소연 하나요<br>먼지, 먼지, 쌓인 미세먼지<br>하늘도 바람도 땅이 질펀해 지도록<br>씻어 내리네요<br>실컷 울다보면 속이 후련해 지도록<br>모든것이 깨끗이 제자리 찾겠지요<br>하지만 길게는 울지 말아요<br>눈물이 꽁꽁 얼면 곤란해 질테니까요<br>2020. 1. 7"
옛날집,"<br>옛날 집아~, 옛날집아~!<br>이사 온 지 많이 되었는데 너가 그립구나.<br>속은 좁지만, 마음은 넓은 옛날 집아!<br>강한 바람 아저씨가 몰아쳐도 칼비가 계속 와도<br>막아준 옛날 집아!<br>이제 다른 주인을 찾아<br>행복하게 해주어라!"
부모님,<br>내가 동생과 싸워도<br>내가 장난을 쳐도<br>내가 힘들게 해도<br>다 받아주시는 부모님<br>나를 도와주고<br>나를 알려주고<br>나를 챙겨주고 힘드실텐데도<br>다 받아주시는 부모님<br>사랑하는 부모님 건강하세요
"엄마, 잔소리",<br>빨리 일어나라!<br>빨리 공부해라!<br>빨리 다라!<br>게임하디마ㅏ!<br>TV보지 마라!<br>밥 남기디 마라!<br>항상 나의 곁에 있는 잔소리<br>잔  소  리<br>잔  소  리
행복,"<br>그땐 몰랐습니다.<br>그것이 행복인 것을~~<br>아침에 눈을 뜨면 무심히 내 밷는 말,<br>"" 잘 잤어?"" 하는 소리가<br>사랑 인 줄 몰랐습니다.<br>대충 처려준 밥을 먹으며,<br>잘 먹었다고 하는 소리가<br>그냥  인사치레 인 줄만 알았습니다.<br>함께 외출하고,<br>함께 운동하고,<br>함께하는 모든 일들이,<br>당연 한 것인 줄  알았습니다.<br>아무 것도 안하고, 옆에 있는 것 만으로도<br>의지가 된다는 걸 그땐 몰랐습니다.<br>그 함께한 사람이 떠나고 난 뒤,<br>그것이 행복인 줄<br>이제야 알았습니다.<br>별일 없는 평범한 일상이<br>한없이 그리워 질 줄<br>그땐 몰랐습니다."
강아지풀,<br>강아지풀<br>동네 뒷산에<br>귀여운 강아지풀<br>강아지처럼 앙증맞다.<br>이리오렴 이리오렴<br>정답게 부르면<br>집까지 따라올 것<br>같아 자꾸 뒤를<br>돌아본다.
손톱깎이,<br><시조> <손톱깎이><br>내 친구는 / 오독오독 / 손톱먹는 / 손톱깎이<br>손톱을/잘근잘근/ 질근질근/ 씹어먹지/<br>손톱이/ 날카로운 /내친구는/손톱깎이/
가족,"<br>우리집은 동물원<br>열심히 일하는 사람<br>베짱이 같 이 살아도<br>될 것 같은 사람<br>아빠<br>열심히 숙면하는 사람<br>겨울 잠 자는 곰 같은 사람<br>열심히 사는데 느긋하게<br>사는 것 같은 백 조 같은 사람<br>엄마<br>열심히 배우는 사람<br>웜뱃 처럼 배려심 많은 사람<br>호기심이 조금만 있어도<br>될것 같은 강아지 같은 사람<br>첫 째 언니<br>성격이 좋지 않는 사람<br>부엉이처럼 야행성 인 사람<br>나보다 키가 작고 몸집도 작은<br>참새 같은 사람<br>둘째 언니<br>말   잘 거는 사람<br>생각보다 기억력이 안 좋은<br>금붕어 같은 사람<br>많이 울어서 그 만 울었으면<br>좋겠는  새끼 고양이 같은 사람<br>나<br>개미,곰,웜뱃, 부엉이,금붕어<br>뭔가 이상한 조합의 동물 원<br>그래도 잘 살고 있으니까<br>좋은 조합이다."
앵무새,<br>(우리집 앵무새 사랑이)<br>우리집의 새식구사랑이<br>뾰로롱<br>나한테 인사하나봐<br>뾰로롱<br>목소리가 참 예쁘다.<br>뾰로롱<br>놀자는거니?<br>아니면 밥달라는거니?<br>밥은 채워 져있고<br>손을 대면 무는데....<br>그럼우리같이...<br>목욕할래?<br>뿌류롱<br>좋니?<br>뾰로롱<br>그럼우리<br>목욕하자.
사과,<br>무엇일까?<br>맛있는 것은 무엇일까?<br>달콤한 것은 무엇일까?<br>새콤한 것은 무엇일까?<br>빨간 것은 무엇일까?<br>둥근 것은 무엇일까?<br>바로 바로 사과!!!<br>사과는 맛있다.<br>사과는 달콤하다.<br>사과는 새콤하다.<br>사과는 빨갛다.<br>사과는 둥글다.<br>사과야 안녕!<br>만나서 반가워^^
호빵,<br><호빵><br>겨울에 먹어야<br>맛있는 호빵.<br>아빠 엉덩이를 닮아<br>빵빵한 호빵.<br>아빠 엉덩이도 두쪽<br>내 호빵도 두 개.<br>푹신푹신하고 따뜻한<br>호빵을 먹으면<br>천국에 온것 같네.
환경,"<br>여타 매체는 이천이십년에는 하늘을 날으는 자동차가 있을 거라고 했다<br>햄스터 집마냥 오밀조밀한 돔 거주지<br>온갖 위치와 길이의 터널들<br>근데 이건 몰랐지?<br>인간에게는 구태 필요하지 않은 크릴을 잡아다 오일을 짜고<br>먹지 않으면 딱 죽을 것처럼 광고를 하고<br>그 탓에 남극의 동물들은 굶어 죽고 있다고<br>이것도 몰랐지?<br>빙해가 녹아 쉴 곳이 없는 바다코끼리는<br>좁은 해안가는 물론, 결국 절벽을 올라가지만<br>나쁜 시력과 무게를 못 견뎌 추락하게 된다고<br>아름다웠던 산호는 백화되어서 주변의 생물 역시 사라지고 있다고<br>북극곰은 서로를 잡아먹는다<br>사실 알고 있었지?<br>이천이십년에는 인간의 이기심으로 다 같이 사라질 미래만 남아 있어<br>내가 너무 가는 것 같다고?<br>해수면이 올라와서 살 곳을 잃는 사람들도 있잖아<br>나는 사람으로 태어나서<br>빙하를 녹이고<br>숲을 불태우고<br>생태계를 망가뜨리고<br>내가 한 짓을 받는 거라면 상관 없다<br>근데 당하기만 한 동식물은 무슨 죄니?"
시간,"<br>시간은 쥐도새도 모르게 가버리는 것이지만 항상 우리에게 힌트를 준다.<br>내가 훌쩍 커서 아빠보다 커진 것.<br>동생이 나눗셈을 배우는 것.<br>시간을 볼 수는 없지만, 느낄수는 있다는 것.<br>그 자체로 시간은 소중하고 멋진 것이다."
시험,<br>시험치는 날 아침시간에는<br>마지막으로 책을 들여다보다가<br>손이 덜덜<br>선생님이 들어오셔서<br>OMR카드를 건네받다가<br>발이 덜덜<br>시험시작 종이 치면<br>문제를 눈으로 읽어보다가<br>땀이 줄줄<br>시험이 끝나면<br>시험지 가채점을 해보다가<br>눈물 줄줄
기억,<br>다 찾아봐도 없어<br>어디다 착착 접어서 놓았는 것 같애<br>태우지는 않았는데 없어졌어<br>식탁 위도 없고 서랍에도 없고<br>아무리 생각해도 기억이 안나<br>나이탓인가봐<br>나도 늙어서<br>옛날에 좋던 그 머리는 어디로 가고<br>하얗게 새카맣게 잊어버렸어<br>잡생각만 나<br>글 써놓은 것만 잊어버린 것이 아니야<br>물건 놓고 잊어버리고 까마득히 잊어버리지<br>시장가서도 뭘 사러 왔는지 적어놓지 않으면 몰라<br>달력에다 표시를 해 놔도 달력 보는 것을 잊어버려서 몰라<br>손주들 생일도 잊어버려서 지나가고 나서 알아<br>내일은 3자 들어가는 날이라 마스크 사러 가는 날 메모지에 써놨어<br>내일은 잊지 않고 일찍 일어나야지
어려운사람,"<br>어려운 사람<br>어렵게 살아온 사람들은 마음의 여유가 없다.<br>어렵게 살아온 사람들은 어딘지 모르게 피해의식도 있다.<br>어렵게 살아온 사람들은 실패할까 늘 두려워한다.<br>이미 누군가의 실패의 결과로 어렵게 살아온 것이니까.<br>그럼에도 그들이 살아온 건 역설적이게도 실패 덕분이다.<br>실패가 없었더라면 지금의 세상은 없음에 틀림없기에<br>나는 그런 사람들의 딸로, 그런 사람들의 친구로, 그런 사람들의 형제로.<br>서로 박차를 가해주는 것을 지향한다.<br>내가 그들이고, 그들이 나니까."
"봄, 사랑","<br><생명><br>조잘조잘 떠드는 아기 새들아.<br>몽글몽글 한껏 부풀어있는 꽃 몽우리야.<br>살랑살랑 바람에 스쳐 춤추는 나뭇잎들아.<br>봄의 왕이 생명을 노래하면,<br>수리부엉이는 조용히 눈을 감네.<br>우리 곁엔 싱그러운 새싹 하나가.<br>언젠간 만개할 아름다운 새싹 하나가."
가족,<br>사 : 사진 속에서 언제나 웃는 얼굴로 나에게 큰 힘이 되어주는 우리 가족에게<br>랑 : 낭낭한 목소리로 이야기 해주고 싶어요!<br>해 : 해가 뜨는 날도 날씨가 흐린날도 눈이 내리는 날도 비가 내리는 날도 언제나 끝까지 사랑하겠다고 꼭 이야기 해주고 싶습니다.
아기,<br>1은 신기하고<br>2는 두렵다<br>10은 더 두렵고<br>20은 두려움은 없다<br>50은 힘들고<br>100은 기적이 일어난다. 세상에 이렇게 이쁘기만 한 사람이 있다는 사실에 놀라기도 한다. 보고만 있어도 웃음이 나게 하는 사람이 하나 더 생겼다. 고맙다 아기야.
어렵다,<br>어렵다<br>너무 어렵다<br>나는 재능도 없어서 더 어려운것같다<br>같은 내용을 쓰더라도<br>내글은 읽기도 어렵고 문장구성도 엉망인것같다<br>우울하다
나타나다,<br>새벽에 돌아와서 자는 것처럼 누워있는 침대의 시신을 발견한다<br>그 사람이 어제 죽었는 지 오늘 죽었는 지 알 수가 없을 때 가장 슬프다<br>복숭아 담배를 입에 물려주는 사람을 사랑해야 겠다고 생각한 적이 있다<br>일본에서만 판다는 그 담배
옛날,"<br>내 모든 사랑은 과거형이다.<br>너와의 골은 그 얇팍한 간극에서 비롯됐다.<br>나는 몇 번이고 사랑을 고했는데,<br>모등것은 이미 과거가 되었다.<br>나는 그것을 참을 수 없었다.<br>나는 언제고 한번 네 옆을 스치기는 했었던가."
꿈,<br>꿈을 꿨다.<br>우리는 대도시에서 좀 떨어져 나온 동네로 놀러 갔다.<br>샤워를 하려고 화장실에 들어갔더니<br>창문으로 조금 먼 곳에서 다른 섬이 보였다.<br>동생이랑 호수에서 수영하며 장난을 치다가<br>돌아와 보니 소중한 걸 잃어버린 것 같다고 했다<br>배를 타고 그 물건을 샅샅이 뒤지다 보니<br>다른 섬에 도착했고 그 섬에서 잃어버린 걸 찾았다.<br>동생과 나는 호기심에 조금 더 탐험해 보고 싶었는데<br>밤이 되어서 다시 집으로 돌아갔고<br>물건을 찾지 못했다고 하면서<br>다음날에 친구 몇 명을 더 모아<br>섬에 가봤다.<br>숲을 조금 지나 보니 중소도시가 나왔다.<br>그런데 글자가 다 이상해서 읽지 못했다.<br>정신없이 걷다 보니 우리를 알아보는 사람이 있었다.<br>우리는 돌아가는 길을 몰랐는데<br>그분이 우리를 도와주겠다 하셨다.<br>우리 집에서 머물고<br>다음 날에 돌아갈 수 있게 해주겠다 그러셨다<br>밤에 저녁으로 비싼 음식을 주시기에<br>이렇게 비싼 걸 줘도 되냐 물어보니<br>웃으시면서 여긴 이런 건 별로 안 비싸다 하셨다.<br>그때부터 뭔가 이상했다.<br>만지는 물건이 이상한 색으로 바뀌고<br>샤워를 하는데 물줄기에 노이즈가 꼈다.<br>카톡을 보내려는데 치직거리더니<br>이상한 내용으로 보내졌다.<br>뭔가 이상함을 느낀 나는 동생과 친구한테<br>'여기서 나가야겠다 우리 힘으로라도 나가자'<br>했더니 '여기 너무 좋은데 왜 나가려 해?'<br>하며 이상하게 웃었고 '여기 더 있고 싶어' 하는 것이다<br>'너네는 여기 있어라 나는 갈 거다'라는 말을 내뱉자<br>누군가가 달려와 계속 웃으면서<br>'나갈 거라고? 나갈 수 있을 것 같아요? 여기 너무 좋지 않아요? 왜 나가려고 해요? 나가지 마세요!'<br>하는데 그 웃음이 이상했던 친구와 동생의 웃음과 닮았었다.<br>친구에게 카톡으로 '여기 너무 이상해 도와줘'.<br>라고 보냈더니 방금 봤던 웃음이 사진으로 첨부되고 '여기 한번 와봐 너무 좋아!'라고 보내졌다.<br>문을 박차고 나가려 하자 문고리가 음영도 없이 지지직거리더니 빨간색이 되었고 이후로 내가 잡는 것은 모두 빨간색이 되어 지지직거리더니 이내 사라져 버리는<br>것이었다.<br>미친 듯이 헤엄치며 섬을 빠져나가도 똑같은 섬이었다.<br>사람들이 모두 똑같은 웃음을 지었다.<br>나가고 싶다며 허공에 소리지르자<br>친구에게서 카톡이 왔다<br>'여기서 나가고 싶어?'<br>'네가 한 게 얼만데?'<br>'여기가 궁금하다며'<br>라고 오는 것이었다<br>차라리 죽고 싶어 강에 뛰어들었다.<br>나도 모르게 구명조끼를 끼고 있었는데<br>끝없이 강속으로 들어가는 것이었다.<br>누가 잡아당기기라도 하는 듯이<br>그 지긋지긋한 얼굴이 내 앞에서 계속 웃는데<br>내가 죽어갈수록 그 웃음이 일그러지며 더욱 기이상학적으로 바뀌었다<br>이윽고 섬으로부터 살려달라는 주민들의 목소리가 들렸고 섬은 불타고 있었다.<br>내가 눈을 감자 화면에 블루스크린이 뜨며<br>꿈에서 깼다.
너,<br>너에게 호감이 가는 이유는<br>너의 상처 때문이야<br>평생 다듬어도 아물지 않을<br>너의 상처를 강하게 만든<br>너의 용기 때문이야<br>잠시 꺼져 있었지만<br>불이 들어오면 전류가 흐르듯<br>너를 전율하게 하여<br>강인해졌기 때문이야
사념,"<br>물 밀듯 닥치는 사념들에 파묻혀<br>고개를 들고 눈을 데룩데룩 굴려<br>가장 큰 무지개색 덩어리를 파내어<br>차가워진 품 안에 쑤셔넣듯 꾹 안아쥐고서<br>아무도 없는 곳을 향해 달려간다.<br>매듭이 꽁꽁 묶여 풀기 위해<br>안간힘을 써 풀어내려한다.<br>문득,<br>물 밀듯 닥치는 후회들에 파묻혀<br>고개를 숙이고 눈을 감은채로<br>가장 작은 쪽지를 꺼내어<br>따듯한 땅 속에 쑤셔넣듯 꾹 밀어넣고서<br>사념의 세계로 향해 걸어간다.<br>매듭이 풀린 해결을 찾기위해<br>안간힘을 써 걸어올라간다."
산수유,"<br>구불구불 청록색 길을 지나<br>현관에서 실내화를 꺼내고<br>왁자지껄 복도를 밟다가<br>밤톨 색 교실 문을 열었다<br>등에 업혀있던 가방을 내려놓고<br>창가에 앉은 아이에게 인사를 건네고<br>햇살마냥 환히 피어있는 너를 향해<br>오늘도 손을 흔든다<br>처음 만났던 3월의 봄<br>무르익어갔던 7월의 여름<br>붉게 물들었던 10월의 가을<br>눈이 내려앉아 사랑옵던 12월의 겨울<br>긴긴 방학을 끝내고<br>다시 교문으로 들어서던 순간<br>그루터기만 덩그러니<br>너는 어디 갔을까<br>손가락을 뻗어 마지막 남은 너를 더듬어 본다<br>이내 곧 유몌를 거두고 네게 인사를 보낸다<br>안녕, 오랜만이야"
백일홍,"<br>너를 기다린 나의 백일은<br>너를 사랑한 나의 백일은<br>너의 미소를 닮은 개나리에<br>노랗디 노랗고,<br>너의 눈을 닮은 하늘에<br>푸르디 푸르렀고,<br>너의 마음을 닮은 나무에<br>초록색을 띈,<br>너의 말투를 닮은 벚꽃에<br>분홍색을 띈,<br>너의 사랑으로 가득차<br>붉디 붉은 색이었다<br>나의 백일은 하루도 빠짐없이 너와의 생각으로<br>너와의 추억으로 가득해<br>너의 색으로만 이뤄진,<br>지독하게도 붉은 색의<br>백일홍이었다"
크다,<br>큰 건 우리 집<br>큰 건 강아지<br>큰 건 부모님의 품<br>큰 건 학교<br>그리고 내가 커질수록 작아지는 것들
사람,"<br>지금까지 내가 그런 사람들만 만나서 그런거라고.<br>그런 사람이 뭔데.<br>오히려 이 정도면 나한테 문제가 있는거 아냐?<br>그들이 아니라 내가 이상한거 아니냐고.<br>사실은 그런 건 나였던게 아닐까.<br>그들이 그런 게 아니라, 내가 그런 사람이 되어 버린 것 같아서 역겨워졌다.<br>내 자신이."
광주,"<br>긴 어둠을 지나고 있던 우리는 민주화의 촛불로 아주 밝고 큰 달을 만들었어요.<br>그 날 이후, 매일 밤 달이 뜨면 모두의 안녕을 기도해요.<br>38년 전의 오늘에도  모두의 안녕을 바라는 이들이 있었겠지요?<br>나의 오늘보다, 사랑하는 모두의 내일을 지켜줄 큰 달이 중요했던 이들이요.<br>_<br>제가 살고 있는 이 도시의 오늘은<br>수 많은 이들의 빛 덕분에 아주 크고, 밝고, 안녕합니다."
손톱,<br>지금보다 어릴 적에는<br>손톱을 물어뜯는 습관 때문에<br>줄곧 혼이 나곤 했다<br>늘 손톱이 짤막하고 못났었다<br>그런데 지금은 검지 손가락 손톱이<br>아예 완전히 뜯겨져 나가버렸다<br>나는 왜 아직도 고치지 못한 걸까
여자,<br>진짜 여자는 없다.<br>나는 남아도는 여자의 여자.<br>여자의 여자의 여자의 여자라서<br>나는 반쯤 여자고 반의 반만 여자고<br>78프로만 여자였다.<br>사람들이 진짜 여자만 여자가 될 수 있다고.<br>여자는 여자를 닮아야 여자가 된다고 하지만<br>나는 완벽하지 않은 78프로의 여자의 여자.<br>나는 완벽한 여자가 되고 싶지 않은 여자.<br>불완전한 여자들을 위해 살아가고 싶은 여자의 여자.<br>여자의 여자의 여자의 여자의 의자.
어머니,"<br>어머니, 울지 마세요<br>당신 사랑하는 사람 아무도 없다 생각하셔도<br>우리는 당신만을 사랑합니다.<br>어머니, 절망하지 마세요<br>당신 힘들다 힘들다 나만이 하는 일이다 생각하셔도<br>늘 뒤에 버티고 계시는 아버지께 등을 맞겨보셔요<br>봄처럼 밝고 환한 삶만<br>벚꽃의 융단만 걸으세요, 어머니!"
죽음,"<br>온 세상이 소란스럽다 이내 소리가 멎었다.<br>희열감과 외로움이 동시에 나를 덮친다.<br>곧 외로움만 남는다.<br>앞이 흐려지다 어두워진다. 아아. 내가 눈을 감았던가.<br>기억도 감정도 오감도 멀어져 붕 떠있다가 추락한다.<br>그래 우리 마지막은 비참하자고,<br>나의 세계가<br>무너진다."
관계,<br>영원할 것 같던 시간<br>깨지지 않을 것 같던 신뢰<br>미세한 균열의 틈으로<br>단단하던 우리사이가 갈라져버렸구나<br>아아<br>다시 내 곁으로 와 주지 않겠니
약속,<br>초등학교 졸업 후 친구들과 다시 보자는 약속<br>중학교 졸업 후 친구들과 다시 보자는 약속<br>고등학교 졸업 후 친구들과 다시 보자는 약속<br>군대 전역 후 선 후임들과 다시 보자는 약속<br>대학교 졸업 후 친구들과 다시 보자는 약속<br>지키고 싶지만 지키지 못한 채<br>점점 사라지는 야속한 약속
당신,"<br>눈 부신 창문 앞에 앉아 당신은 무슨 생각을 하나요.<br>커튼이 힘 없이 볼을 간지럽힐때 웃나요, 인상을 찌푸리나요.<br>하염없이 바라보고 바라보고 또 기다리고 기다리며 당신은.<br>꼬박 밤을 새울건가요. 어쩌면 다음 계절까지 지새울건가요.<br>해가 저물고 하늘이 바뀌고 세상까지 바뀌어요.<br>창문은 나날이 색을 달리하고 심어둔 꽃들은 진작 시들었어요.<br>난 이 집에서 두어명과 이별을 하고 아기 고양이는 새끼를 다섯마리 낳았어요.<br>그런데도 당신은 떠나지를 않으시나요.<br>민들레 꽃잎 따라 물들인 머리카락이 가닥가닥 흐트러져요.<br>창문 너머 보는 게 무엇이길래 당신을 슬피 울게 만드나요.<br>어떤 장면이 당신을 천국으로 갈 수 없도록 하나요.<br>난 차라리 노란색이 밉습니다. 애가 끓고 애가 닳아 죽어가요.<br>세상엔 그 색이 너무나 많아서요.<br>예를 들면 햇빛.<br>햇빛 속에서 앉아있던 당신.<br>예를 들면 별빛.<br>별빛 아래 내 손 잡고 웃던 당신.<br>그리고 너와 함께한 온 세상.<br>어찌합니까.<br>난 이제 눈을 감아야 당신을 잊습니다."
꽃,<br>인도가 없는<br>차가 다니지도 않는 길을 걷다<br>바람에 이질감을 느끼다<br>바람에 헝클어진 머리를 정리하다<br>허허벌판과 같은 곳에 홀로 피어있는 꽃을 발견하다<br>너도 무엇을 찾고 있니?<br>대답이 돌아오지 않는다는 걸 알면서도 묻는다<br>마치 그의 물음에 대답이라도 하는 듯<br>그저 바람에 흔들릴 뿐인지<br>꽃이 고개를 끄덕인다
전,<br>치익치익<br>전  부치자<br>치익치익<br>전부 치자<br>김치전이든<br>호박전이든<br>낙지김치전이든<br>아이고<br>나밖에 남지 않았네
삶,"<br>물질적으로 만족스럽기에,<br>삶 속 순간순간들은 재밌었기에,<br>하고 싶은 것만 하고,<br>원치 않는 건 보지 않았기에,<br>나는 내가  행복한 줄만 알았다.<br>그렇게 믿었었다.<br>헌데 속을 들여다 보니<br>물질적인 것들은 그 순간뿐이었고,<br>삶 속 순간순간들은 그저 재미에서 그쳤기에,<br>하고 싶은 것들은 제대로 하지도 못했고,<br>원치 않던 건 듣고 있었기에,<br>나도 모르는 새에 행복이 홀연이 사라졌다.<br>나도 언젠가부터 지쳤던 건 아닐까.<br>남에게 맞추어 주면 관계가 증진된다는 생각에,<br>내 이야기보단 남 이야기에 경청하며 살았기에,<br>공감해 주며 웃었기에,<br>나는 내가 행복한 줄만 알았다.<br>서로에게 의지하는, 깊은 사이가 될 거라고.<br>헌데 속을 들여다 보니<br>맞추기 위해 마음을 내어주니 마음은 서서히 파여갔고,<br>경청을 했으나 이에 맞춰 내 말을 경청을 해주는 이는 적었기에,<br>내 이야기는 안에서 곪아갔고,<br>진심 어린 공감을 들을 수 없었기에,<br>나도 모르는 새에 행복이 홀연히 사라졌다.<br>깊은 사이는 커녕, 더욱 숨기는 사이만 되어서.<br>나도 언젠가부터 지쳤던 건 아닐까.<br>그래서 더 신뢰는 갈구하고 있는 건 아닐까.<br>불안하니까."
달빛,"<br>글쎄, 모두에게 공평하게 주어진다는 달빛인데<br>어째서 누구는 땅언저리 창살 너머로 기웃기웃 해야 겨우 반틈만큼 차지할 수 있는 것인가.<br>또 누구는 네모 사방을 둘러 내밀어봐도 건넌집 유리창에 비춰진 모습으로 밖엔 볼 수 없다지.<br>다 거짓이다.<br>있는 이나 없는 이나 공평하다더니..<br>달빛조차 공평히 가질 수 없는 세상이라니.<br>별개 다 서글퍼서 서글프다."
네 얼굴,"<br>눈을 감고<br>손을 뻗으면<br>닿는<br>네 얼굴<br>찬 바람을 만나<br>제법 쌀쌀해진<br>그래도 여전히 사랑스러운<br>네 얼굴<br>-오늘도 꽃이 피었구나, 네 표정에는.<br>한 마디를 건네자<br>배시시 웃어보이는<br>네 얼굴"
